1,17,7,14,37,428.45
1,4,17,92,48,699.3
1,1,10,44,36,482.42
1,30,15,32,17,404.84
1,29,9,25,23,352.15
1,19,18,24,32,524.82
1,3,3,5,12,229.3
1,26,14,47,48,1299.89
1,6,2,49,43,593.22
1,27,12,33,29,353.11
1,2,7,26,21,542.41
1,16,18,36,22,571.45
1,26,7,13,30,575.98
1,30,12,10,14,383.85
1,26,0,4,4,77.99
1,25,1,8,47,675.63
1,17,14,44,28,570.12
1,17,2,43,46,607.65
1,6,2,32,35,512.76
1,9,15,3,41,660.05
1,7,12,3,16,437.63
1,26,14,16,38,933.86
1,14,19,18,23,632.5
1,10,14,3,33,483.6
1,5,6,7,28,609.36
1,11,11,36,27,694.65
1,25,10,67,40,1152.16
1,17,16,28,15,220.53
1,12,6,5,3,78.35
1,8,5,11,14,170.66
1,14,11,21,38,828.08
1,14,6,55,37,525.66
1,9,11,18,31,847.61
1,14,8,47,28,436.02
1,22,5,74,40,683.6
1,4,4,27,16,195.74
1,25,16,31,27,345.96
1,8,0,57,42,557.81
1,13,3,64,39,522.28
1,9,11,33,41,1016.49
1,23,17,15,46,1144.89
1,9,1,5,18,282.62
1,21,14,55,43,964.49
1,22,19,12,40,1420
1,25,15,16,40,559.54
1,15,9,31,28,404.71
1,1,9,75,48,1373.55
1,5,14,65,33,527.34
1,28,7,44,41,1025.29
1,17,18,15,9,194.32
1,12,12,47,40,1118.81
1,23,2,57,47,610.06
1,25,6,58,47,723.17
1,25,12,13,21,315.82
1,1,19,11,7,128.7
1,24,15,8,37,1543
1,28,4,6,27,426.35
1,14,6,23,37,725.14
1,10,10,34,34,754.16
1,18,2,54,36,503.11
1,14,0,22,34,451.43
1,19,10,6,7,196.77
1,22,5,28,19,275.08
1,4,10,6,20,246.32
1,2,7,23,48,786.47
1,15,19,48,40,921
1,20,12,7,18,453.56
1,8,9,74,38,562.42
1,14,1,58,36,434.15
1,7,5,36,20,517.38
1,26,11,56,31,888.75
1,14,19,20,44,1183.27
1,18,16,61,40,533.23
1,6,13,20,16,227.32
